one,three,MW,lambdas,sigmas,q,bondlength,bondk,angle,anglek,omega
R,ARG,156.19,0.7407902764839954,0.656,1,0.38,0,0,0,0
D,ASP,115.09,0.092587557536158,0.558,-1,0.38,0,0,0,0
N,ASN,114.1,0.3706962163690402,0.568,0,0.38,0,0,0,0
E,GLU,129.11,0.000249590539426,0.592,-1,0.38,0,0,0,0
K,LYS,128.17,0.1380602542039267,0.636,1,0.38,0,0,0,0
H,HIS,137.14,0.4087176216525476,0.608,0,0.38,0,0,0,0
Q,GLN,128.13,0.3143449791669133,0.602,0,0.38,0,0,0,0
S,SER,87.08,0.4473142572693176,0.518,0,0.38,0,0,0,0
C,CYS,103.14,0.5922529084601322,0.548,0,0.38,0,0,0,0
G,GLY,57.05,0.7538308115197386,0.45,0,0.38,0,0,0,0
T,THR,101.11,0.2672387936544146,0.562,0,0.38,0,0,0,0
A,ALA,71.07,0.3377244362031627,0.504,0,0.38,0,0,0,0
M,MET,131.2,0.5170874160398543,0.618,0,0.38,0,0,0,0
Y,TYR,163.18,0.950628687301107,0.646,0,0.38,0,0,0,0
V,VAL,99.13,0.2936174211771383,0.586,0,0.38,0,0,0,0
W,TRP,186.22,1.033450123574512,0.678,0,0.38,0,0,0,0
L,LEU,113.16,0.5548615312993875,0.618,0,0.38,0,0,0,0
I,ILE,113.16,0.5130398874425708,0.618,0,0.38,0,0,0,0
P,PRO,97.12,0.3469777523519372,0.556,0,0.38,0,0,0,0
F,PHE,147.18,0.8906449355499866,0.636,0,0.38,0,0,0,0
O,CHO,196.0,2.091,0.650,1,0.40,1900,0,0,0
J,PHO,196.0,2.286,0.578,-1,0.40,1900,
U,MID,196.0,2.241,0.507,0,0.50,2000,
Z,TPO,269.0,2.054,0.738,0,0.50,400,0,0,1.186
X,TDO,269.0,1.948,0.726,0,0.55,1000,0,0,1.265
X,TDP,269.0,2.263,0.710,0,0.50,2100,0,0,1.406
